[2026-03-22 00:40:36,232][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-22 00:40:36,233][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-22 00:40:43,230][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-22 00:40:43,342][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-22 00:41:22,270][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: -------------------------------------------------
[2026-03-22 00:41:22,652][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: -------------------------------------------------
[2026-03-22 00:41:23,033][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: -------------------------------------------------
[2026-03-22 00:41:23,796][__main__][INFO] - Finished design in 0.33 minutes
[2026-03-22 00:41:23,797][__main__][INFO] - Making design outputs/users/anonymous/5f119f7e/3c19f4f174a7/v1/design_2
[2026-03-22 00:41:23,802][rfdiffusion.inference.model_runners][INFO] - Using contig: ['45-55']
[2026-03-22 00:41:23,813][rfdiffusion.inference.model_runners][INFO] - Sequence init: --------------------------------------------------
[2026-03-22 00:41:24,207][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: --------------------------------------------------
[2026-03-22 00:41:24,589][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: --------------------------------------------------
[2026-03-22 00:41:24,973][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: --------------------------------------------------
[2026-03-22 00:41:25,355][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: --------------------------------------------------
[2026-03-22 00:41:25,735][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: --------------------------------------------------
[2026-03-22 00:41:26,116][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: --------------------------------------------------
[2026-03-22 00:41:26,497][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: --------------------------------------------------
[2026-03-22 00:41:26,883][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: --------------------------------------------------
[2026-03-22 00:41:27,264][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: --------------------------------------------------
[2026-03-22 00:41:27,645][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: --------------------------------------------------
[2026-03-22 00:41:28,026][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: --------------------------------------------------
[2026-03-22 00:41:28,408][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: --------------------------------------------------
[2026-03-22 00:41:28,788][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: --------------------------------------------------
[2026-03-22 00:41:29,171][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: --------------------------------------------------
